 Title,Date,Duration,Exercise,"Superset id",Weight,Reps,Distance,Time,"Set Type"
"Evening session","2025-12-03 13:02:41",01:04:53,"Lateral Raise",,10.000,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"Lateral Raise",,10.000,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"Lever Leg Extension",,45.000,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"Lever Leg Extension",,90.000,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"Lever Leg Extension",,90.000,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"Lever Seated Reverse Fly",,15.000,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"Lever Seated Reverse Fly",,15.000,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"Lever Seated Reverse Fly",,15.000,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"One arm Wrist Curl",,12.500,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"One arm Wrist Curl",,17.500,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"One arm Revers Wrist Curl",,5.000,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"One arm Revers Wrist Curl",,7.500,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"Lateral Raise",,10.000,10,,,NORMAL_SET
"Evening session","2025-12-03 13:02:41",01:04:53,"Lateral Raise",,10.000,12,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,Pull-up,,0.000,11,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,Pull-up,,0.000,10,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Cable Seated Single Arm Row",,25.000,10,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Cable Reverse Grip Pulldown",,30.000,10,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Cable Reverse Grip Pulldown",,55.000,10,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Cable Reverse Grip Pulldown",,60.000,7,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Bent Over Row",,5.000,10,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Bent Over Row",,15.000,10,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Bent Over Row",,20.000,6,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Cable Seated Face Pull (with rope) (male)",,40.000,10,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Cable Seated Face Pull (with rope) (male)",,65.000,10,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Cable Seated Face Pull (with rope) (male)",,70.000,9,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Cable Seated Single Arm Row",,35.000,9,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Cable Seated Single Arm Row",,35.000,10,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Lever Back Extension ",,0.000,10,,,NORMAL_SET
Back,"2025-12-02 12:29:36",01:19:00,"Lever Back Extension ",,0.000,10,,,NORMAL_SET
Chest,"2025-12-01 16:17:19",00:58:21,"Bench Press",,10.000,6,,,NORMAL_SET
Chest,"2025-12-01 16:17:19",00:58:21,"Bench Press",,20.000,6,,,NORMAL_SET
Chest,"2025-12-01 16:17:19",00:58:21,"Bench Press",,25.000,4,,,NORMAL_SET
Chest,"2025-12-01 16:17:19",00:58:21,"Bench Press",,27.500,4,,,NORMAL_SET
Chest,"2025-12-01 16:17:19",00:58:21,"Dumbbell Seated Shoulder Press",,20.000,10,,,NORMAL_SET
Chest,"2025-12-01 16:17:19",00:58:21,"Dumbbell Seated Shoulder Press",,22.000,7,,,NORMAL_SET
Chest,"2025-12-01 16:17:19",00:58:21,"Single Arm Chest Fly",,15.000,10,,,NORMAL_SET
Chest,"2025-12-01 16:17:19",00:58:21,"Single Arm Chest Fly",,25.000,10,,,NORMAL_SET
Chest,"2025-12-01 16:17:19",00:58:21,"Single Arm Chest Fly",,30.000,9,,,NORMAL_SET
Chest,"2025-12-01 16:17:19",00:58:21,"Lateral Raise",1,10.000,10,,,NORMAL_SET
Chest,"2025-12-01 16:17:19",00:58:21,"Lateral Raise",1,10.000,12,,,NORMAL_SET
Chest,"2025-11-27 12:34:26",00:39:27,"Bench Press",,10.000,6,,,NORMAL_SET
Chest,"2025-11-27 12:34:26",00:39:27,"Bench Press",,20.000,6,,,NORMAL_SET
Chest,"2025-11-27 12:34:26",00:39:27,"Bench Press",,25.000,6,,,NORMAL_SET
Chest,"2025-11-27 12:34:26",00:39:27,"Bench Press",,27.500,2,,,NORMAL_SET
Chest,"2025-11-27 12:34:26",00:39:27,"Dumbbell Seated Shoulder Press",,15.000,10,,,NORMAL_SET
Chest,"2025-11-27 12:34:26",00:39:27,"Dumbbell Seated Shoulder Press",,20.000,10,,,NORMAL_SET
Chest,"2025-11-27 12:34:26",00:39:27,"Dumbbell Seated Shoulder Press",,22.000,7,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Bench Press",,10.000,6,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Bench Press",,20.000,6,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Bench Press",,25.000,5,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Dumbbell Seated Shoulder Press",,15.000,10,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Dumbbell Seated Shoulder Press",,20.000,10,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Lateral Raise",1,10.000,12,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Lateral Raise",1,10.000,13,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Lateral Raise",1,12.500,6,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Lateral Raise",1,12.500,7,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Lever Pec Deck Fly",1,30.000,10,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Lever Pec Deck Fly",1,40.000,13,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Lever Pec Deck Fly",1,45.000,8,,,NORMAL_SET
Chest,"2025-11-13 12:12:55",01:30:01,"Lever Pec Deck Fly",1,45.000,7,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Triceps Pushdown",,35.000,10,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Triceps Pushdown",,65.000,10,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Triceps Pushdown",,70.000,6,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"EZ Barbell Curl",,5.000,10,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"EZ Barbell Curl",,10.000,10,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"EZ Barbell Curl",,12.500,4,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Overhead Triceps Extension",,30.000,10,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Overhead Triceps Extension",,45.000,11,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Lever Preacher Curl",,10.000,10,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Lever Preacher Curl",,25.000,9,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Lever Preacher Curl",,25.000,8,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Tricep Double Rope Extensions",,20.000,10,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Tricep Double Rope Extensions",,25.000,7,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Tricep Double Rope Extensions",,25.000,8,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Hammer Curl",,10.000,10,,,NORMAL_SET
Arms,"2025-11-12 07:05:44",01:11:46,"Hammer Curl",,12.500,9,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,Pull-up,,0.000,10,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,Pull-up,,0.000,10,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Cable Seated Single Arm Row",,25.000,10,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Cable Reverse Grip Pulldown",,30.000,10,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Cable Reverse Grip Pulldown",,55.000,10,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Cable Reverse Grip Pulldown",,55.000,9,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Straight Back Seated Row",,25.000,10,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Straight Back Seated Row",,40.000,10,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Straight Back Seated Row",,40.000,10,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Cable Seated Face Pull (with rope) (male)",,40.000,10,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Cable Seated Face Pull (with rope) (male)",,65.000,11,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Cable Seated Face Pull (with rope) (male)",,70.000,9,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Cable Seated Single Arm Row",,35.000,10,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Cable Seated Single Arm Row",,35.000,10,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Lever Back Extension ",,0.000,10,,,NORMAL_SET
Back,"2025-11-10 11:54:58",01:20:34,"Lever Back Extension ",,0.000,10,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Bench Press",,10.000,8,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Bench Press",,20.000,8,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Bench Press",,25.000,5,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Dumbbell Seated Shoulder Press",,15.000,10,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Dumbbell Seated Shoulder Press",,20.000,9,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Dumbbell Seated Shoulder Press",,22.000,5,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Single Arm Chest Fly",,15.000,10,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Single Arm Chest Fly",,25.000,10,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Single Arm Chest Fly",,30.000,9,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Lateral Raise",1,10.000,11,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Lateral Raise",1,10.000,11,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Lateral Raise",1,10.000,10,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Lever Pec Deck Fly",1,30.000,10,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Lever Pec Deck Fly",1,30.000,11,,,NORMAL_SET
Chest,"2025-11-07 11:38:59",01:35:11,"Lever Pec Deck Fly",1,40.000,6,,,NORMAL_SET
Arms,"2025-11-06 12:51:48",01:06:59,"Triceps Pushdown",,35.000,10,,,NORMAL_SET
Arms,"2025-11-06 12:51:48",01:06:59,"Triceps Pushdown",,60.000,10,,,NORMAL_SET
Arms,"2025-11-06 12:51:48",01:06:59,"Triceps Pushdown",,65.000,10,,,NORMAL_SET
Arms,"2025-11-06 12:51:48",01:06:59,"EZ Barbell Curl",,5.000,10,,,NORMAL_SET
Arms,"2025-11-06 12:51:48",01:06:59,"EZ Barbell Curl",,10.000,10,,,NORMAL_SET
Arms,"2025-11-06 12:51:48",01:06:59,"Overhead Triceps Extension",,30.000,10,,,NORMAL_SET
Arms,"2025-11-06 12:51:48",01:06:59,"Overhead Triceps Extension",,45.000,11,,,NORMAL_SET
Arms,"2025-11-06 12:51:48",01:06:59,"Lever Preacher Curl",,10.000,10,,,NORMAL_SET
Arms,"2025-11-06 12:51:48",01:06:59,"Lever Preacher Curl",,25.000,10,,,NORMAL_SET
Arms,"2025-11-06 12:51:48",01:06:59,"Dumbbell Seated Reverse Grip One Arm Overhead Tricep Extension",,8.000,9,,,NORMAL_SET
Arms,"2025-11-06 12:51:48",01:06:59,"Dumbbell Seated Reverse Grip One Arm Overhead Tricep Extension",,8.000,9,,,NORMAL_SET
Arms,"2025-11-06 12:51:48",01:06:59,"Dumbbell Seated Reverse Grip One Arm Overhead Tricep Extension",,8.000,8,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,Pull-up,,0.000,10,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,Pull-up,,0.000,10,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Cable Seated Single Arm Row",,25.000,10,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Cable Reverse Grip Pulldown",,30.000,10,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Cable Reverse Grip Pulldown",,55.000,9,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Cable Reverse Grip Pulldown",,55.000,7,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Bent Over Row",,5.000,10,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Bent Over Row",,15.000,10,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Bent Over Row",,15.000,8,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Cable Seated Face Pull (with rope) (male)",,40.000,10,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Cable Seated Face Pull (with rope) (male)",,65.000,10,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Cable Seated Face Pull (with rope) (male)",,70.000,7,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Cable Seated Single Arm Row",,35.000,10,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Cable Seated Single Arm Row",,35.000,10,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Lever Back Extension ",,0.000,10,,,NORMAL_SET
Back,"2025-10-30 12:48:28",01:35:52,"Lever Back Extension ",,0.000,10,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Bench Press",,10.000,10,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Bench Press",,20.000,10,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Bench Press",,22.500,8,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Bench Press",,25.000,4,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Dumbbell Seated Shoulder Press",,15.000,10,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Dumbbell Seated Shoulder Press",,20.000,8,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Dumbbell Seated Shoulder Press",,22.000,5,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Single Arm Chest Fly",,15.000,10,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Single Arm Chest Fly",,25.000,10,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Single Arm Chest Fly",,30.000,8,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Lateral Raise",1,10.000,11,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Lateral Raise",1,10.000,11,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Lateral Raise",1,10.000,12,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Lever Pec Deck Fly",1,20.000,10,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Lever Pec Deck Fly",1,30.000,11,,,NORMAL_SET
Chest,"2025-10-29 11:41:51",01:47:27,"Lever Pec Deck Fly",1,40.000,8,,,NORMAL_SET
Legs,"2025-10-26 12:22:27",01:44:15,Deadlift,,20.000,6,,,NORMAL_SET
Legs,"2025-10-26 12:22:27",01:44:15,Deadlift,,40.000,4,,,NORMAL_SET
Legs,"2025-10-26 12:22:27",01:44:15,Deadlift,,50.000,1,,,NORMAL_SET
Legs,"2025-10-26 12:22:27",01:44:15,"Full Squat",,10.000,8,,,NORMAL_SET
Legs,"2025-10-26 12:22:27",01:44:15,"Full Squat",,15.000,8,,,NORMAL_SET
Legs,"2025-10-26 12:22:27",01:44:15,"Full Squat",,20.000,4,,,NORMAL_SET
Legs,"2025-10-26 12:22:27",01:44:15,"Lever Leg Extension",,45.000,10,,,NORMAL_SET
Legs,"2025-10-26 12:22:27",01:44:15,"Lever Leg Extension",,90.000,10,,,NORMAL_SET
Legs,"2025-10-26 12:22:27",01:44:15,"Lever Leg Extension",,100.000,7,,,NORMAL_SET
Legs,"2025-10-26 12:22:27",01:44:15,"45 degrees Back Extension",,0.000,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Triceps Pushdown",,35.000,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Triceps Pushdown",,60.000,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Triceps Pushdown",,65.000,7,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"EZ Barbell Curl",,5.000,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"EZ Barbell Curl",,10.000,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"EZ Barbell Curl",,12.500,6,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Overhead Triceps Extension",,30.000,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Overhead Triceps Extension",,45.000,11,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Overhead Triceps Extension",,50.000,6,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Lever Preacher Curl",,10.000,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Lever Preacher Curl",,25.000,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Lever Preacher Curl",,30.000,6,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Dumbbell Seated Reverse Grip One Arm Overhead Tricep Extension",,8.000,9,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Dumbbell Seated Reverse Grip One Arm Overhead Tricep Extension",,8.000,9,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Dumbbell Seated Reverse Grip One Arm Overhead Tricep Extension",,8.000,8,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Hammer Curl",,10.000,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"Hammer Curl",,12.500,8,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"One arm Wrist Curl",1,12.500,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"One arm Wrist Curl",1,15.000,12,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"One arm Wrist Curl",1,17.500,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"One arm Revers Wrist Curl",1,5.000,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"One arm Revers Wrist Curl",1,7.500,10,,,NORMAL_SET
Arms,"2025-10-24 12:49:27",01:52:50,"One arm Revers Wrist Curl",1,7.500,10,,,NORMAL_SET
Back,"2025-10-22 14:59:47",00:49:11,Pull-up,,0.000,10,,,NORMAL_SET
Back,"2025-10-22 14:59:47",00:49:11,Pull-up,,0.000,10,,,NORMAL_SET
Back,"2025-10-22 14:59:47",00:49:11,"Cable Seated Single Arm Row",,25.000,10,,,NORMAL_SET
Back,"2025-10-22 14:59:47",00:49:11,"Cable Reverse Grip Pulldown",,30.000,10,,,NORMAL_SET
Back,"2025-10-22 14:59:47",00:49:11,"Cable Reverse Grip Pulldown",,55.000,7,,,NORMAL_SET
Back,"2025-10-22 14:59:47",00:49:11,"Cable Reverse Grip Pulldown",,55.000,7,,,NORMAL_SET
Back,"2025-10-22 14:59:47",00:49:11,"Cable Seated Face Pull (with rope) (male)",,40.000,10,,,NORMAL_SET
Back,"2025-10-22 14:59:47",00:49:11,"Cable Seated Face Pull (with rope) (male)",,65.000,10,,,NORMAL_SET
Back,"2025-10-22 14:59:47",00:49:11,"Cable Seated Face Pull (with rope) (male)",,70.000,6,,,NORMAL_SET
Back,"2025-10-22 14:59:47",00:49:11,"Cable Seated Single Arm Row",,35.000,10,,,NORMAL_SET
Back,"2025-10-22 14:59:47",00:49:11,"Cable Seated Single Arm Row",,35.000,9,,,NORMAL_SET
Back,"2025-10-22 14:59:47",00:49:11,"Lever Back Extension ",,0.000,10,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Bench Press",,10.000,10,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Bench Press",,20.000,10,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Bench Press",,22.500,7,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Dumbbell Seated Shoulder Press",,15.000,10,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Dumbbell Seated Shoulder Press",,20.000,10,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Dumbbell Seated Shoulder Press",,22.000,5,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Single Arm Chest Fly",,15.000,10,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Single Arm Chest Fly",,25.000,10,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Single Arm Chest Fly",,30.000,8,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Lateral Raise",1,10.000,13,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Lateral Raise",1,10.000,11,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Lateral Raise",1,10.000,10,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Lever Pec Deck Fly",1,15.000,10,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Lever Pec Deck Fly",1,30.000,11,,,NORMAL_SET
Chest,"2025-10-21 15:57:06",01:42:40,"Lever Pec Deck Fly",1,35.000,8,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Triceps Pushdown",,35.000,10,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Triceps Pushdown",,60.000,10,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Triceps Pushdown",,60.000,11,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"EZ Barbell Curl",,5.000,10,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"EZ Barbell Curl",,10.000,8,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"EZ Barbell Curl",,10.000,9,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Overhead Triceps Extension",,30.000,10,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Overhead Triceps Extension",,45.000,11,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Overhead Triceps Extension",,50.000,6,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Lever Preacher Curl",,10.000,10,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Lever Preacher Curl",,25.000,9,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Lever Preacher Curl",,25.000,11,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Dumbbell Seated Reverse Grip One Arm Overhead Tricep Extension",,8.000,10,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Dumbbell Seated Reverse Grip One Arm Overhead Tricep Extension",,8.000,11,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Dumbbell Seated Reverse Grip One Arm Overhead Tricep Extension",,8.000,7,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Hammer Curl",,10.000,11,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"Hammer Curl",,12.000,7,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"One arm Wrist Curl",1,12.500,10,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"One arm Wrist Curl",1,15.000,10,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"One arm Revers Wrist Curl",1,5.000,10,,,NORMAL_SET
Arms,"2025-10-19 12:15:04",01:51:52,"One arm Revers Wrist Curl",1,7.500,10,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Bench Press",,10.000,10,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Bench Press",,20.000,10,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Bench Press",,22.500,6,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Dumbbell Seated Shoulder Press",,15.000,10,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Dumbbell Seated Shoulder Press",,20.000,10,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Dumbbell Seated Shoulder Press",,22.000,5,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Single Arm Chest Fly",,15.000,10,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Single Arm Chest Fly",,25.000,10,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Single Arm Chest Fly",,25.000,12,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Lateral Raise",1,10.000,12,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Lateral Raise",1,10.000,12,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Lateral Raise",1,10.000,10,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Lever Pec Deck Fly",1,15.000,10,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Lever Pec Deck Fly",1,25.000,12,,,NORMAL_SET
Chest,"2025-10-10 13:21:10",01:42:26,"Lever Pec Deck Fly",1,30.000,12,,,NORMAL_SET
Legs,"2025-10-09 13:41:41",01:35:09,Squat,,0.000,20,,,NORMAL_SET
Legs,"2025-10-09 13:41:41",01:35:09,Deadlift,,20.000,6,,,NORMAL_SET
Legs,"2025-10-09 13:41:41",01:35:09,Deadlift,,30.000,6,,,NORMAL_SET
Legs,"2025-10-09 13:41:41",01:35:09,Deadlift,,40.000,4,,,NORMAL_SET
Legs,"2025-10-09 13:41:41",01:35:09,"Sled 45 degrees Narrow Stance Leg Press ",,40.000,10,,,NORMAL_SET
